Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Allen Iverson,25,PHI,SG,22,22,1016,22.5,.480,.215,.315,1.6,10.2,5.8,29.1,2.8,0.5,7.7,36.8,1.9,0.9,2.7,.130,5.5,0.6,6.1,2.1,,iversal01
2,Dikembe Mutombo,34,PHI,C,23,23,981,19.7,.584,.005,.712,12.8,24.0,18.3,2.9,0.8,5.8,11.6,14.5,2.4,1.3,3.8,.184,2.1,1.0,3.1,1.3,,mutomdi01
3,Aaron McKie,28,PHI,SG,23,16,892,15.4,.503,.213,.249,3.0,12.3,7.6,24.0,2.1,0.3,12.1,19.6,1.2,0.6,1.9,.100,0.9,1.0,1.9,0.9,,mckieaa01
4,Ray Allen,25,MIL,SG,18,18,768,23.7,.613,.360,.260,2.8,7.4,5.2,27.1,1.7,0.9,10.4,24.9,3.2,0.4,3.6,.223,8.2,0.1,8.3,2.0,,allenra02
5,Tyrone Hill,32,PHI,PF,23,23,742,8.4,.455,.006,.333,8.1,17.8,12.9,2.2,1.0,1.3,12.5,12.9,0.1,0.6,0.6,.041,-3.4,-0.8,-4.3,-0.4,,hillty01
6,Eric Snow,27,PHI,PG,23,9,717,11.8,.457,.033,.262,4.0,9.7,6.8,24.8,2.1,0.2,16.1,17.9,0.1,0.4,0.6,.038,-2.1,0.1,-2.0,0.0,,snower01
7,Kobe Bryant,22,LAL,SG,16,16,694,25.0,.555,.095,.422,4.7,13.3,9.1,25.4,1.9,1.3,10.7,30.3,2.6,1.2,3.8,.260,6.0,0.6,6.5,1.5,,bryanko01
8,Glenn Robinson,28,MIL,SF,18,18,687,16.9,.505,.193,.174,4.3,13.6,9.2,16.7,0.9,2.4,11.7,26.5,0.6,0.5,1.2,.081,2.6,-1.1,1.6,0.6,,robingl01
9,Sam Cassell,31,MIL,PG,18,18,682,15.3,.490,.108,.349,2.0,10.8,6.6,31.2,1.5,0.3,14.0,25.4,0.8,0.4,1.2,.087,0.2,-1.7,-1.5,0.1,,cassesa01
10,Shaquille O'Neal,28,LAL,C,16,16,676,28.7,.564,.000,.581,15.0,24.4,19.8,14.8,0.5,4.1,11.7,32.0,2.3,1.4,3.7,.260,6.9,-0.5,6.5,1.4,Finals MVP-1,onealsh01
11,Ervin Johnson,33,MIL,C,18,10,577,14.3,.597,.000,.471,11.7,24.3,18.3,2.6,0.8,4.5,12.8,7.6,1.0,0.9,1.8,.151,0.7,1.1,1.8,0.6,,johnser02
12,Derek Fisher,26,LAL,PG,16,16,576,15.6,.618,.428,.214,1.0,10.3,5.7,12.7,1.9,0.1,6.5,14.3,1.6,0.9,2.5,.207,1.6,1.6,3.2,0.8,,fishede01
13,Rick Fox,31,LAL,SF,16,16,573,12.2,.563,.442,.233,2.5,12.2,7.5,14.4,2.8,0.9,20.2,13.7,0.5,1.1,1.6,.132,-0.2,1.7,1.5,0.5,,foxri01
14,Vince Carter,24,TOR,SF,12,12,539,23.0,.523,.218,.264,8.1,9.7,8.9,20.5,2.0,2.8,8.0,29.6,1.5,0.5,2.0,.178,6.8,0.2,7.0,1.2,,cartevi01
15,Tim Duncan,24,SAS,PF,13,13,526,25.4,.531,.004,.484,11.5,26.3,19.2,19.9,1.4,4.5,14.4,31.2,0.8,1.1,1.9,.173,4.0,2.9,6.9,1.2,,duncati01
16,Alvin Williams,26,TOR,SG,12,12,486,12.4,.482,.175,.156,1.5,7.6,4.4,17.4,1.7,1.2,8.6,18.1,0.4,0.3,0.7,.068,-0.8,-0.3,-1.1,0.1,,willial02
17,Antonio Davis,32,TOR,C,12,12,485,19.3,.555,.000,.344,10.0,24.2,16.8,8.2,1.1,3.4,10.6,19.2,1.1,0.6,1.7,.164,1.8,0.5,2.3,0.5,,davisan01
18,Tim Thomas,23,MIL,PF,18,0,479,16.2,.591,.357,.455,5.3,12.8,9.2,10.2,1.0,1.5,10.9,18.7,1.2,0.3,1.6,.156,2.5,-0.2,2.3,0.5,,thomati01
19,Jumaine Jones,21,PHI,SF,23,14,447,11.9,.473,.256,.168,8.7,12.7,10.7,6.4,1.2,1.9,9.4,15.2,0.3,0.3,0.6,.068,-0.4,-0.1,-0.5,0.2,,jonesju01
20,Michael Finley,27,DAL,SF,10,10,434,13.7,.449,.235,.220,3.2,10.7,6.8,20.1,1.5,0.3,9.9,26.0,0.0,0.1,0.1,.013,1.9,-0.6,1.3,0.4,,finlemi01
21,Horace Grant,35,LAL,PF,16,16,423,10.9,.440,.000,.313,10.5,14.0,12.3,6.4,1.8,2.2,12.1,13.0,0.3,0.8,1.0,.116,-0.8,0.3,-0.5,0.2,,grantho01
22,Jamal Mashburn,28,CHH,SF,10,10,419,20.7,.505,.101,.423,4.7,12.4,8.5,26.9,1.6,0.6,10.8,30.5,0.9,0.5,1.4,.155,3.5,0.2,3.6,0.6,,mashbja01
23,David Robinson,35,SAS,C,13,13,409,24.5,.538,.006,.597,10.7,28.7,20.1,10.5,2.2,5.1,12.2,26.4,0.7,1.0,1.8,.207,3.0,3.6,6.5,0.9,,robinda01
24,Antonio Daniels,25,SAS,PG,13,8,406,16.4,.601,.351,.267,1.1,5.6,3.4,17.3,0.9,0.2,8.2,18.5,1.1,0.2,1.3,.158,2.5,0.2,2.7,0.5,,daniean01
25,Dirk Nowitzki,22,DAL,PF,10,10,399,22.3,.573,.282,.577,3.7,19.5,11.3,7.0,1.5,1.5,6.4,25.3,1.4,0.3,1.7,.206,5.3,1.0,6.3,0.8,,nowitdi01
26,Baron Davis,21,CHH,PG,10,10,397,21.4,.603,.407,.455,2.5,10.4,6.3,26.2,3.8,1.0,13.0,19.7,1.2,0.7,1.9,.226,3.4,3.8,7.2,0.9,,davisba01
27,David Wesley,30,CHH,SG,10,10,394,16.7,.559,.246,.306,1.1,7.8,4.4,18.1,2.2,0.2,8.4,19.4,0.9,0.4,1.3,.164,0.9,1.4,2.3,0.4,,wesleda01
28,Charles Oakley,37,TOR,PF,12,12,391,10.9,.481,.074,.157,6.0,18.3,11.9,8.7,1.7,1.3,16.0,16.5,-0.1,0.4,0.3,.040,-1.8,0.0,-1.8,0.0,,oaklech01
29,Juwan Howard,27,DAL,PF,10,10,391,10.9,.430,.000,.331,7.9,16.1,11.8,6.6,0.8,1.0,8.2,20.1,0.0,0.2,0.2,.020,-0.8,-1.3,-2.1,0.0,,howarju01
