Rk,Player,Age,Team,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Julius Erving,31,PHI,SF,21,780,22.5,.581,.019,.509,8.5,13.8,11.2,19.4,2.3,2.7,14.5,24.9,1.9,1.1,3.0,.185,6.6,1.4,8.0,2.0,,ervinju01
2,Maurice Cheeks,25,PHI,PG,21,765,16.6,.513,.034,.245,2.3,6.7,4.6,31.9,3.1,0.4,14.3,18.8,1.1,0.8,1.9,.119,2.8,0.7,3.6,1.1,,cheekma01
3,Andrew Toney,24,PHI,SG,21,707,17.4,.557,.041,.282,3.3,4.8,4.1,23.8,1.2,0.2,14.0,28.3,1.2,0.4,1.6,.106,3.2,-1.9,1.3,0.6,,toneyan01
4,Caldwell Jones,31,PHI,C,21,679,11.7,.514,.000,.256,8.9,21.9,15.6,3.7,0.8,3.4,14.0,12.8,0.4,1.0,1.4,.097,-0.2,0.2,0.0,0.3,,jonesca01
5,Bobby Jones,30,PHI,PF,21,589,16.5,.611,.000,.466,7.3,11.4,9.4,12.5,1.2,2.1,13.6,17.2,1.4,0.6,2.0,.160,3.2,0.5,3.7,0.9,,jonesbo01
6,Magic Johnson,22,LAL,SG,14,562,22.5,.614,.025,.592,10.8,18.6,14.9,27.7,3.3,0.3,18.2,16.9,1.9,0.8,2.7,.231,5.7,2.4,8.2,1.5,Finals MVP-1,johnsma02
7,Norm Nixon,26,LAL,PG,14,549,16.9,.514,.012,.225,2.7,5.5,4.2,27.2,2.0,0.2,10.9,22.3,1.2,0.3,1.5,.131,2.4,-1.2,1.1,0.4,,nixonno01
8,Jamaal Wilkes,28,LAL,SF,14,535,13.9,.533,.004,.203,8.4,5.6,6.9,9.1,1.4,0.3,13.2,22.2,0.7,0.3,0.9,.083,1.2,-2.4,-1.2,0.1,,wilkeja01
9,Kareem Abdul-Jabbar,34,LAL,C,14,493,20.1,.550,.000,.394,7.5,17.6,12.8,13.8,1.3,4.8,13.7,23.9,0.8,0.7,1.5,.144,3.0,1.4,4.4,0.8,,abdulka01
10,Larry Bird,25,BOS,PF,12,490,17.9,.474,.029,.218,7.2,24.5,16.1,20.7,2.3,2.0,14.4,21.9,0.3,1.2,1.6,.154,3.6,1.8,5.4,0.9,,birdla01
11,Darryl Dawkins,25,PHI,C,21,460,14.3,.578,.000,.281,5.8,17.7,12.0,3.7,0.7,4.4,16.0,21.7,0.3,0.6,0.9,.090,-1.6,0.4,-1.2,0.1,,dawkida01
12,Robert Parish,28,BOS,C,12,426,20.7,.527,.000,.359,10.8,22.1,16.6,7.0,0.6,6.4,13.9,26.8,0.5,1.0,1.5,.168,3.2,0.8,4.0,0.6,,parisro01
13,Clint Richardson,25,PHI,SG,21,415,9.9,.474,.000,.288,8.1,10.5,9.3,12.8,1.5,0.7,15.2,13.9,0.1,0.4,0.5,.058,-0.4,0.0,-0.4,0.2,,richacl01
14,Mike Bantom,30,PHI,SF,21,399,7.4,.416,.000,.462,11.4,10.3,10.8,7.7,1.8,1.3,18.0,14.0,-0.3,0.4,0.1,.016,-2.2,-0.4,-2.6,-0.1,,bantomi01
15,Bob McAdoo,30,LAL,C,14,388,18.4,.586,.000,.263,6.1,19.2,13.0,7.8,1.2,2.8,14.9,23.8,0.5,0.5,1.0,.126,1.8,-0.1,1.7,0.4,,mcadobo01
16,Cedric Maxwell,26,BOS,SF,12,385,18.0,.577,.000,.583,10.3,13.3,11.9,9.9,2.3,1.6,13.7,18.5,0.8,0.8,1.6,.200,4.5,0.9,5.4,0.7,,maxwece01
17,Michael Cooper,25,LAL,SG,14,383,17.4,.597,.016,.274,5.6,11.0,8.4,20.2,2.9,1.5,17.3,17.2,0.7,0.5,1.2,.152,2.9,1.9,4.8,0.7,,coopemi01
18,George Gervin,29,SAS,SG,9,373,18.5,.511,.013,.311,5.1,13.8,9.2,17.7,1.3,0.6,10.7,30.6,0.5,0.2,0.7,.092,2.4,-0.6,1.7,0.4,,gervige01
19,Mike Mitchell,26,SAS,SF,9,365,16.7,.575,.000,.337,7.7,13.5,10.4,3.0,0.6,0.1,11.0,23.5,0.7,0.1,0.8,.102,2.0,-2.0,0.0,0.2,,mitchmi01
20,Kevin McHale,24,BOS,PF,12,344,22.0,.617,.000,.396,12.8,13.1,13.0,5.2,0.7,4.5,9.2,20.5,1.2,0.6,1.8,.257,5.8,0.2,6.1,0.7,,mchalke01
